"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"R56","0603_R","66.2258mm","87.9094mm","66.2258mm","87.9094mm","65.4558mm","87.9094mm","T","360.00","0次 (0R0) ㊣1%"
"R55","1206_R","86.7524mm","73.792mm","86.7524mm","73.792mm","85.2624mm","73.792mm","T","360.00","1次 (1R00) ㊣1%"
"R54","1206_R","86.7524mm","70.6932mm","86.7524mm","70.6932mm","88.2424mm","70.6932mm","T","180.00","1次 (1R00) ㊣1%"
"R53","0603_R","87.6668mm","82.2248mm","87.6668mm","82.2248mm","86.8968mm","82.2248mm","T","360.00","30K次 (3002) ㊣1%"
"R52","0603_R","81.7152mm","80.1928mm","81.7152mm","80.1928mm","80.9452mm","80.1928mm","T","360.00","NC"
"R51","0603_R","87.63mm","80.1116mm","87.63mm","80.1116mm","86.86mm","80.1116mm","T","0.00","NC"
"R50","0603_R","81.766mm","77.9576mm","81.766mm","77.9576mm","80.996mm","77.9576mm","T","360.00","NC"
"R49","0603_R","77.9018mm","80.1878mm","77.9018mm","80.1878mm","77.1318mm","80.1878mm","T","360.00","NC"
"R48","0603_R","87.6554mm","77.9018mm","87.6554mm","77.9018mm","86.8854mm","77.9018mm","T","360.00","31.6K次"
"R47","脣璃褫覃萇郯_3362P","73.0872mm","84.333mm","75.6272mm","85.603mm","75.6272mm","85.603mm","T","360.00","RPot"
"R44","0603_R","77.8684mm","78.105mm","77.8684mm","78.105mm","77.0984mm","78.105mm","T","360.00","11K次 (1102) ㊣1%"
"R2","0603_R","66.2038mm","85.6284mm","66.2038mm","85.6284mm","65.4338mm","85.6284mm","T","0.00","5.1K次 (5101) ㊣1%"
"R42","0805_R","82.1296mm","73.3348mm","82.1296mm","73.3348mm","81.2396mm","73.3348mm","T","360.00","0次 (0R0) ㊣1%"
"C2","0603_C","70.471mm","74.8254mm","70.471mm","74.8254mm","70.471mm","75.5954mm","T","270.00","100nF (104) 10% 50V"
"R41","0603_R","89.775mm","8.133mm","89.775mm","8.133mm","89.775mm","7.363mm","T","90.00","100K次 (1003) ㊣1%"
"C7","0603_C","92.315mm","8.133mm","92.315mm","8.133mm","92.315mm","7.363mm","T","90.00","100nF (104) 10% 50V"
"J2","TP","87.997mm","20.579mm","87.997mm","20.579mm","87.997mm","20.579mm","T","0.00","Socket"
"J1","TP","79.838mm","20.579mm","79.838mm","20.579mm","79.838mm","20.579mm","T","0.00","Socket"
"C5","0603_C","80.631mm","11.181mm","80.631mm","11.181mm","81.401mm","11.181mm","T","180.00","100nF (104) 10% 50V"
"C4","泂え萇賤_8mm_X_10mm","63.613mm","77.3099mm","63.613mm","73.919mm","63.613mm","73.919mm","T","90.00","220uf/35V"
"R43","0805_R","82.154mm","70.6932mm","82.154mm","70.6932mm","81.264mm","70.6932mm","T","360.00","0次 (0R0) ㊣1%"
"U9","SOP-4_P2.54","19.671mm","45.217mm","19.671mm","45.217mm","16.671mm","46.487mm","T","360.00","EL357N(B)(TA)-G"
"U8","SOP-4_P2.54","19.671mm","37.4065mm","19.671mm","37.4065mm","16.671mm","38.6765mm","T","360.00","EL357N(B)(TA)-G"
"U7","SOP-4_P2.54","19.671mm","29.596mm","19.671mm","29.596mm","16.671mm","30.866mm","T","360.00","EL357N(B)(TA)-G"
"U6","SOP-4_P2.54","19.671mm","21.7855mm","19.671mm","21.7855mm","16.671mm","23.0555mm","T","360.00","EL357N(B)(TA)-G"
"U5","SOP-4_P2.54","19.671mm","53.0275mm","19.671mm","53.0275mm","16.671mm","54.2975mm","T","360.00","EL357N(B)(TA)-G"
"U4","SOP-4_P2.54","19.671mm","14.991mm","19.671mm","14.991mm","16.671mm","16.261mm","T","360.00","EL357N(B)(TA)-G"
"U3","SOP-4_P2.54","19.671mm","60.838mm","19.671mm","60.838mm","16.671mm","62.108mm","T","360.00","EL357N(B)(TA)-G"
"U2","USB_TypeA","68.2612mm","2.4561mm","64.756mm","3.815mm","64.756mm","3.815mm","T","180.00","USB-6"
"U1","LM2596-ADJ-263-5","32.088mm","79.5705mm","28.688mm","72.776mm","28.688mm","72.776mm","T","0.00","LM2596S-ADJ"
"SB1","JP2_SMD","85.965mm","1.783mm","85.965mm","1.783mm","85.965mm","0.9257mm","T","270.00","Circuit Breaker"
"RELAY7","脣璃樟萇ん_TQ2-5V","57.644mm","46.6987mm","52.564mm","42.8887mm","52.564mm","42.8887mm","T","360.00","ATQ209"
"RELAY6","脣璃樟萇ん_TQ2-5V","84.441mm","46.6987mm","79.361mm","42.8887mm","79.361mm","42.8887mm","T","360.00","ATQ209"
"RELAY5","脣璃樟萇ん_TQ2-5V","57.644mm","32.5593mm","52.564mm","28.7493mm","52.564mm","28.7493mm","T","360.00","ATQ209"
"RELAY4","脣璃樟萇ん_TQ2-5V","84.441mm","32.5593mm","79.361mm","28.7493mm","79.361mm","28.7493mm","T","360.00","ATQ209"
"RELAY3","脣璃樟萇ん_TQ2-5V","84.441mm","60.838mm","79.361mm","57.028mm","79.361mm","57.028mm","T","360.00","ATQ209"
"RELAY2","脣璃樟萇ん_TQ2-5V","57.644mm","18.42mm","52.564mm","14.61mm","52.564mm","14.61mm","T","360.00","ATQ209"
"RELAY1","脣璃樟萇ん_TQ2-5V","57.644mm","60.838mm","52.564mm","57.028mm","52.564mm","57.028mm","T","360.00","ATQ209"
"R40","2512_R","31.482mm","8.006mm","31.482mm","8.006mm","34.582mm","8.006mm","T","180.00","66.5"
"R39","0805_R","24.878mm","7.879mm","24.878mm","7.879mm","23.988mm","7.879mm","T","360.00","0次 (0R0) ㊣1%"
"R38","0603_R","44.309mm","43.8367mm","44.309mm","43.8367mm","44.309mm","43.0667mm","T","90.00","2K次 (2001) ㊣1%"
"R37","0603_R","32.371mm","45.693mm","32.371mm","45.693mm","32.371mm","46.463mm","T","270.00","2K次 (2001) ㊣1%"
"R36","0603_R","29.45mm","45.693mm","29.45mm","45.693mm","29.45mm","46.463mm","T","270.00","10K次 (1002) ㊣1%"
"R35","0603_R","11.543mm","46.487mm","11.543mm","46.487mm","12.313mm","46.487mm","T","180.00","10K次 (1002) ㊣1%"
"R34","2512_R","47.611mm","8.006mm","47.611mm","8.006mm","50.711mm","8.006mm","T","180.00","66.5"
"R33","0805_R","40.498mm","7.879mm","40.498mm","7.879mm","39.608mm","7.879mm","T","360.00","0次 (0R0) ㊣1%"
"R32","0603_R","70.852mm","43.8367mm","70.852mm","43.8367mm","70.852mm","43.0667mm","T","90.00","2K次 (2001) ㊣1%"
"R31","0603_R","32.371mm","37.8905mm","32.371mm","37.8905mm","32.371mm","38.6605mm","T","270.00","2K次 (2001) ㊣1%"
"R30","0603_R","29.45mm","37.8905mm","29.45mm","37.8905mm","29.45mm","38.6605mm","T","270.00","10K次 (1002) ㊣1%"
"R29","0603_R","11.543mm","38.6765mm","11.543mm","38.6765mm","12.313mm","38.6765mm","T","180.00","10K次 (1002) ㊣1%"
"R28","0603_R","44.309mm","29.8243mm","44.309mm","29.8243mm","44.309mm","29.0543mm","T","90.00","2K次 (2001) ㊣1%"
"R27","0603_R","32.371mm","30.088mm","32.371mm","30.088mm","32.371mm","30.858mm","T","270.00","2K次 (2001) ㊣1%"
"R26","0603_R","29.45mm","30.088mm","29.45mm","30.088mm","29.45mm","30.858mm","T","270.00","10K次 (1002) ㊣1%"
"R25","0603_R","11.543mm","30.866mm","11.543mm","30.866mm","12.313mm","30.866mm","T","180.00","10K次 (1002) ㊣1%"
"R24","0603_R","70.852mm","29.8243mm","70.852mm","29.8243mm","70.852mm","29.0543mm","T","90.00","2K次 (2001) ㊣1%"
"R23","0603_R","32.371mm","22.2855mm","32.371mm","22.2855mm","32.371mm","23.0555mm","T","270.00","2K次 (2001) ㊣1%"
"R22","0603_R","29.45mm","22.2855mm","29.45mm","22.2855mm","29.45mm","23.0555mm","T","270.00","10K次 (1002) ㊣1%"
"R21","0603_R","11.543mm","23.0555mm","11.543mm","23.0555mm","12.313mm","23.0555mm","T","180.00","10K次 (1002) ㊣1%"
"R20","0603_R","70.852mm","57.849mm","70.852mm","57.849mm","70.852mm","57.079mm","T","90.00","2K次 (2001) ㊣1%"
"R19","0603_R","32.371mm","53.4955mm","32.371mm","53.4955mm","32.371mm","54.2655mm","T","270.00","2K次 (2001) ㊣1%"
"R18","0603_R","29.45mm","53.4955mm","29.45mm","53.4955mm","29.45mm","54.2655mm","T","270.00","10K次 (1002) ㊣1%"
"R16","0603_R","44.309mm","15.812mm","44.309mm","15.812mm","44.309mm","15.042mm","T","90.00","2K次 (2001) ㊣1%"
"R15","0603_R","32.371mm","15.372mm","32.371mm","15.372mm","32.371mm","16.142mm","T","270.00","2K次 (2001) ㊣1%"
"R14","0603_R","29.45mm","15.372mm","29.45mm","15.372mm","29.45mm","16.142mm","T","270.00","10K次 (1002) ㊣1%"
"R12","0603_R","44.309mm","57.782mm","44.309mm","57.782mm","44.309mm","57.012mm","T","90.00","2K次 (2001) ㊣1%"
"R11","0603_R","32.371mm","61.298mm","32.371mm","61.298mm","32.371mm","62.068mm","T","270.00","2K次 (2001) ㊣1%"
"R10","0603_R","29.45mm","61.298mm","29.45mm","61.298mm","29.45mm","62.068mm","T","270.00","10K次 (1002) ㊣1%"
"R8","0603_R","83.679mm","1.783mm","83.679mm","1.783mm","83.679mm","2.553mm","T","270.00","100K次 (1003) ㊣1%"
"R7","0603_R","70.979mm","7.498mm","70.979mm","7.498mm","71.749mm","7.498mm","T","180.00","49.9K次 (4992) ㊣1%"
"R6","0603_R","70.979mm","10.419mm","70.979mm","10.419mm","71.749mm","10.419mm","T","180.00","49.9K次 (4992) ㊣1%"
"R5","0603_R","65.01mm","7.498mm","65.01mm","7.498mm","65.78mm","7.498mm","T","180.00","75K次 (7502) ㊣1%"
"R4","0603_R","65.01mm","10.419mm","65.01mm","10.419mm","65.78mm","10.419mm","T","180.00","43.2K"
"R3","0603_R","73.3412mm","74.7746mm","73.3412mm","74.7746mm","73.3412mm","75.5446mm","T","270.00","1.5K次 (1501) ㊣1%"
"Q7","SOT-23(SOT-23-3)","37.324mm","45.6403mm","37.324mm","45.6403mm","36.074mm","46.5903mm","T","180.00","SS8550 Y2"
"Q6","SOT-23(SOT-23-3)","37.324mm","37.851mm","37.324mm","37.851mm","36.074mm","38.801mm","T","180.00","SS8550 Y2"
"Q5","SOT-23(SOT-23-3)","37.324mm","30.0617mm","37.324mm","30.0617mm","36.074mm","31.0117mm","T","180.00","SS8550 Y2"
"Q4","SOT-23(SOT-23-3)","37.324mm","22.2723mm","37.324mm","22.2723mm","36.074mm","23.2223mm","T","180.00","SS8550 Y2"
"Q3","SOT-23(SOT-23-3)","37.324mm","53.4297mm","37.324mm","53.4297mm","36.074mm","54.3797mm","T","180.00","SS8550 Y2"
"Q2","SOT-23(SOT-23-3)","37.324mm","15.372mm","37.324mm","15.372mm","36.074mm","16.322mm","T","180.00","SS8550 Y2"
"Q1","SOT-23(SOT-23-3)","37.324mm","61.219mm","37.324mm","61.219mm","36.074mm","62.169mm","T","180.00","SS8550 Y2"
"P8","WJ15EDGVC-3.81-2P","14.591mm","0.513mm","12.686mm","0.513mm","12.686mm","0.513mm","T","0.00","Header 2"
"P7","WJ15EDGVC-3.81-2P","1.383mm","12.324mm","1.383mm","14.229mm","1.383mm","14.229mm","T","270.00","Header 2"
"P6","WJ15EDGVC-3.81-3P","29.45mm","0.513mm","25.64mm","0.513mm","25.64mm","0.513mm","T","360.00","Header 3"
"P5","WJ15EDGVC-3.81-2P","1.383mm","22.357mm","1.383mm","24.262mm","1.383mm","24.262mm","T","270.00","Header 2"
"P4","WJ15EDGVC-3.81-2P","1.383mm","74.427mm","1.383mm","76.332mm","1.383mm","76.332mm","T","270.00","Header 2"
"P3","WJ15EDGVC-3.81-3P","44.69mm","0.513mm","40.88mm","0.513mm","40.88mm","0.513mm","T","360.00","Header 3"
"P2","WJ15EDGVC-3.81-2P","1.383mm","32.39mm","1.383mm","34.295mm","1.383mm","34.295mm","T","270.00","Header 2"
"P1","WJ15EDGVC-3.81-6P","1.383mm","50.551mm","1.383mm","60.076mm","1.383mm","60.076mm","T","270.00","Header 6"
"L1","泂え萇覜_12*12","49.77mm","79.047mm","49.77mm","85.095mm","49.77mm","85.095mm","T","270.00","100UH"
"D17","SOD-323","47.738mm","49.027mm","47.738mm","49.027mm","47.738mm","50.207mm","T","90.00","1N4148WS T4"
"D16","0603_LED_S1","44.309mm","49.789mm","44.309mm","49.789mm","44.309mm","49.019mm","T","270.00","懦腑 0603"
"D15","SOD-323","74.408mm","48.9mm","74.408mm","48.9mm","74.408mm","50.08mm","T","90.00","1N4148WS T4"
"D14","0603_LED_S1","70.852mm","49.789mm","70.852mm","49.789mm","70.852mm","49.019mm","T","270.00","懦腑 0603"
"D13","SOD-323","47.738mm","34.9804mm","47.738mm","34.9804mm","47.738mm","36.1604mm","T","90.00","1N4148WS T4"
"D12","0603_LED_S1","44.309mm","35.692mm","44.309mm","35.692mm","44.309mm","34.922mm","T","270.00","懦腑 0603"
"D11","SOD-323","74.408mm","34.676mm","74.408mm","34.676mm","74.408mm","35.856mm","T","90.00","1N4148WS T4"
"D10","0603_LED_S1","70.852mm","35.692mm","70.852mm","35.692mm","70.852mm","34.922mm","T","270.00","懦腑 0603"
"D9","SOD-323","74.408mm","63.124mm","74.408mm","63.124mm","74.408mm","64.304mm","T","90.00","1N4148WS T4"
"D8","0603_LED_S1","70.852mm","63.886mm","70.852mm","63.886mm","70.852mm","63.116mm","T","270.00","懦腑 0603"
"D7","SOD-323","47.738mm","20.8834mm","47.738mm","20.8834mm","47.738mm","22.0634mm","T","90.00","1N4148WS T4"
"D6","0603_LED_S1","44.309mm","21.595mm","44.309mm","21.595mm","44.309mm","20.825mm","T","270.00","懦腑 0603"
"D5","SOD-323","47.738mm","63.034mm","47.738mm","63.034mm","47.738mm","64.214mm","T","90.00","1N4148WS T4"
"D4","0603_LED_S1","44.309mm","63.886mm","44.309mm","63.886mm","44.309mm","63.116mm","T","270.00","懦腑 0603"
"D3","0603_LED_S1","75.424mm","74.7826mm","75.424mm","74.7826mm","75.424mm","75.5526mm","T","90.00","綻腑 0603"
"D2","SMA(DO-214AC)_S1","40.626mm","78.491mm","40.626mm","78.491mm","40.626mm","76.391mm","T","270.00","SS54"
"D1","SMA(DO-214AC)_S1","8.876mm","76.459mm","8.876mm","76.459mm","8.876mm","78.559mm","T","90.00","SS54"
"C3","泂え萇賤_10mm_X_10mm","18.528mm","78.745mm","18.528mm","73.919mm","18.528mm","73.919mm","T","90.00","220uf/50V"
"C1","0603_C","81.139mm","1.783mm","81.139mm","1.783mm","81.139mm","2.553mm","T","270.00","100nF (104) 10% 50V"
"R45","0603_R","58.9788mm","87.9094mm","58.9788mm","87.9094mm","58.2088mm","87.9094mm","T","360.00","100K次 (1003) ㊣1%"
"R46","脣璃褫覃萇郯_3362P","80.758mm","84.2822mm","83.298mm","85.5522mm","83.298mm","85.5522mm","T","360.00","RPot"
"C16","0603_C","80.663mm","14.356mm","80.663mm","14.356mm","81.433mm","14.356mm","T","180.00","2.2uF (225) 10% 16V"
"R1","0603_R","58.9708mm","85.7504mm","58.9708mm","85.7504mm","58.2008mm","85.7504mm","T","360.00","1.5K次 (1501) ㊣1%"
"R9","0603_R","11.543mm","62.108mm","11.543mm","62.108mm","12.313mm","62.108mm","T","180.00","10K次 (1002) ㊣1%"
"R13","0603_R","11.543mm","16.261mm","11.543mm","16.261mm","12.313mm","16.261mm","T","180.00","10K次 (1002) ㊣1%"
"R17","0603_R","11.543mm","54.2975mm","11.543mm","54.2975mm","12.313mm","54.2975mm","T","180.00","10K次 (1002) ㊣1%"
"R57","0603_R","62.5776mm","87.884mm","62.5776mm","87.884mm","61.8076mm","87.884mm","T","360.00","100K次 (1003) ㊣1%"

